id,plate,price,area,year
16171,K010KK99,3800000,Moscow,2025
16172,O454HX797,30000,Moscow,2025
16173,C003OK150,300000,Moscow Oblast,2024
16174,C003OK150,200000,Moscow Oblast,2024
16175,C003OK150,150000,Moscow Oblast,2024
16176,C003OK150,159000,Moscow Oblast,2024
16177,C003OK150,150000,Moscow Oblast,2024
16178,C003OK150,200000,Moscow Oblast,2024
16179,C003OK150,150000,Moscow Oblast,2024
16180,C003OK150,170000,Moscow Oblast,2024
16181,B772KY193,75000,Krasnodar Krai,2024
16182,H515XT716,40000,Republic of Tatarstan,2024
16183,P919HP48,100000,Lipetsk Oblast,2024
16184,B470CO154,50000,Novosibirsk Oblast,2024
16185,E969TH797,60000,Moscow,2025
16186,H530EH977,25000,Moscow,2024
16187,Y777PH63,400000,Samara Oblast,2024
16188,B300HB797,60000,Moscow,2023
16189,B300HB797,90000,Moscow,2023
16190,E770BE08,100000,Republic of Kalmykia,2024
16191,K444KK777,6000000,Moscow,2024
16192,M313MM96,500000,Sverdlovsk Oblast,2024
16193,K474EO797,55000,Moscow,2025
16194,C685CC197,500000,Moscow,2024
16195,C031EE977,30000,Moscow,2024
16196,M797EX790,250000,Moscow Oblast,2023
16197,K024BC977,80000,Moscow,2024
16198,O900OO40,1000000,Kaluga Oblast,2023
16199,Y080BX790,70000,Moscow Oblast,2024
16200,M555XP197,500000,Moscow,2024
16201,B200BO126,70000,Stavropol Krai,2023
16202,C007MC01,250000,Republic of Adygea,2023
16203,H063EM790,63000,Moscow Oblast,2023
16204,K335AK177,45000,Moscow,2021
16205,P808AT550,80000,Moscow Oblast,2025
16206,Y235TY797,30000,Moscow,2025
16207,C009TC750,250000,Moscow Oblast,2024
16208,C010AA799,85000,Moscow,2023
16209,E555EY123,300000,Krasnodar Krai,2023
16210,H800HT790,130000,Moscow Oblast,2024
16211,A620AA177,500000,Moscow,2022
16212,A620AA177,450000,Moscow,2023
16213,O550CH797,70000,Moscow,2025
16214,A893AE550,60000,Moscow Oblast,2025
16215,K999TY177,750000,Moscow,2023
16216,B444CB199,250000,Moscow,2025
16217,C353MC797,250000,Moscow,2023
16218,M888PE150,290000,Moscow Oblast,2023
16219,K791TX97,125000,Moscow,2024
16220,Y712AB550,30000,Moscow Oblast,2025
16221,Y712AB550,60000,Moscow Oblast,2025
16222,C727OP797,100000,Moscow,2025
16223,P759YC799,90000,Moscow,2025
16224,B005EB50,900000,Moscow Oblast,2025
16225,O636OA797,200000,Moscow,2024
16226,E333KX70,500000,Tomsk Oblast,2024
16227,E187EE93,250000,Krasnodar Krai,2024
16228,E070HX97,70000,Moscow,2021
16229,E070HX97,80000,Moscow,2021
16230,E555YH76,1200000,Yaroslavl Oblast,2023
16231,X613CA797,60000,Moscow,2025
16232,C329OB797,70000,Moscow,2024
16233,A859AA197,620000,Moscow,2023
16234,H050KP126,70000,Stavropol Krai,2024
16235,B500OB99,500000,Moscow,2024
16236,E633EE73,150000,Ulyanovsk Oblast,2022
16237,H600PK797,120000,Moscow,2025
16238,M303AX977,340000,Moscow,2024
16239,P027YC799,190000,Moscow,2025
16240,O898TX797,60000,Moscow,2025
16241,O070CB24,65000,Krasnoyarsk Krai,2022
16242,E320TA797,70000,Moscow,2024
16243,M767KB82,150000,Republic of Crimea,2024
16244,Y010BE193,125000,Krasnodar Krai,2023
16245,K121XX790,50000,Moscow Oblast,2025
16246,X242PT797,65000,Moscow,2024
16247,X242PT797,60000,Moscow,2025
16248,O777BB177,2300000,Moscow,2025
16249,K005HB750,290000,Moscow Oblast,2024
16250,P462YC799,60000,Moscow,2025
16251,Y077CK01,200000,Republic of Adygea,2022
16252,O009OX790,450000,Moscow Oblast,2025
16253,M757MC797,90000,Moscow,2023
16254,K063AC777,300000,Moscow,2025
16255,P539BH799,721000,Moscow,2022
16256,H191CT797,60000,Moscow,2025
16257,E301EE70,50000,Tomsk Oblast,2023
16258,B111TO777,1500000,Moscow,2024
16259,E888AK04,200000,Altai Republic,2024
16260,C222CB56,500000,Orenburg Oblast,2024
16261,P700XB99,350000,Moscow,2025
16262,T011YC77,130000,Moscow,2023
16263,C001MX790,195000,Moscow Oblast,2022
16264,M038PP790,45000,Moscow Oblast,2024
16265,T080HY190,150000,Moscow Oblast,2025
16266,C893CC97,900000,Moscow,2024
16267,X707CO797,200000,Moscow,2025
16268,X363BK797,60000,Moscow,2025
16269,A001HY199,850000,Moscow,2024
16270,C690CC33,150000,Vladimir Oblast,2025
16271,A919CY199,100000,Moscow,2023
16272,A925OO197,270000,Moscow,2024
16273,X333HY54,100000,Novosibirsk Oblast,2022
16274,A235EP977,70000,Moscow,2025
16275,E900AK190,80000,Moscow Oblast,2022
16276,E900AK190,60000,Moscow Oblast,2022
16277,E900AK190,50000,Moscow Oblast,2022
16278,P909BX977,99000,Moscow,2023
16279,M900YY99,500000,Moscow,2024
16280,C065KK93,100000,Krasnodar Krai,2024
16281,A001XB97,1500000,Moscow,2024
16282,P800MM69,65000,Tver Oblast,2023
16283,H041EY797,60000,Moscow,2025
16284,Y911HM77,135000,Moscow,2021
16285,Y911HM77,145000,Moscow,2021
16286,Y911HM77,135000,Moscow,2021
16287,Y911HM77,150000,Moscow,2021
16288,Y911HM77,130000,Moscow,2021
16289,Y911HM77,160000,Moscow,2022
16290,Y911HM77,210000,Moscow,2022
16291,Y911HM77,250000,Moscow,2022
16292,Y911HM77,220000,Moscow,2022
16293,Y911HM77,170000,Moscow,2022
16294,Y911HM77,200000,Moscow,2022
16295,H060TT159,80000,Perm Krai,2024
16296,Y001HM197,350000,Moscow,2022
16297,B585BB18,250000,Udmurt Republic,2023
16298,O099AE198,140000,Saint Petersburg,2024
16299,C077AE777,740000,Moscow,2025
16300,X229AH750,50000,Moscow Oblast,2024
16301,X577YO777,200000,Moscow,2025
16302,M700XH799,110000,Moscow,2021
16303,E004XK190,200000,Moscow Oblast,2024
16304,M111TM198,250000,Saint Petersburg,2024
16305,A940YE90,200000,Moscow Oblast,2024
16306,B500KK799,250000,Moscow,2023
16307,K687YM178,100000,Saint Petersburg,2024
16308,B051KO797,35000,Moscow,2024
16309,K784KK99,300000,Moscow,2022
16310,K784KK99,440000,Moscow,2025
16311,H001OX77,1000000,Moscow,2024
16312,A352MP178,350000,Saint Petersburg,2022
16313,C062CC77,1200000,Moscow,2023
16314,O556CC797,30000,Moscow,2025
16315,P690CH790,85000,Moscow Oblast,2025
16316,E686PE777,300000,Moscow,2024
16317,C010XP199,90000,Moscow,2022
16318,X299YA69,50000,Tver Oblast,2024
16319,K510OX797,90000,Moscow,2024
16320,X121OT797,100000,Moscow,2025
16321,B030TA797,100000,Moscow,2025
16322,T040BT977,170000,Moscow,2024
16323,O066HX790,30000,Moscow Oblast,2022
16324,E999AP138,250000,Irkutsk Oblast,2023
16325,H909MM797,600000,Moscow,2022
16326,P777XB197,450000,Moscow,2022
16327,X550AC550,2000000,Moscow Oblast,2024
16328,X550AC550,550000,Moscow Oblast,2024
16329,P222XK777,240000,Moscow,2023
16330,Y404BA163,40000,Samara Oblast,2022
16331,P059PP59,2000000,Perm Krai,2025
16332,M666PK777,550000,Moscow,2024
16333,H992TO797,70000,Moscow,2024
16334,Y020YK799,90000,Moscow,2023
16335,O009CA36,500000,Voronezh Oblast,2024
16336,T444KK190,150000,Moscow Oblast,2022
16337,B373AE550,50000,Moscow Oblast,2024
16338,E169BA977,50000,Moscow,2025
16339,M900BP790,50000,Moscow Oblast,2022
16340,T791OK197,250000,Moscow,2023
16341,T791OK197,225000,Moscow,2023
16342,B883BB199,650000,Moscow,2025
16343,T111MT150,260000,Moscow Oblast,2024
16344,T888KE790,1000000,Moscow Oblast,2023
16345,X555PB790,300000,Moscow Oblast,2025
16346,H007PB777,1100000,Moscow,2024
16347,C200AB07,300000,Kabardino-Balkarian Republic,2024
16348,O500HA45,40000,Kurgan Oblast,2022
16349,H060OY797,75000,Moscow,2023
16350,T090MK90,500000,Moscow Oblast,2025
16351,E400HX199,150000,Moscow,2024
16352,E400HX199,155000,Moscow,2024
16353,E400HX199,150000,Moscow,2024
16354,E400HX199,155000,Moscow,2024
16355,E400HX199,150000,Moscow,2024
16356,E400HX199,155000,Moscow,2024
16357,M163CK163,210000,Samara Oblast,2022
16358,K151EE163,35000,Samara Oblast,2025
16359,M825HA797,35000,Moscow,2024
16360,T848BK797,85000,Moscow,2023
16361,T848BK797,60000,Moscow,2023
16362,H573HH150,180000,Moscow Oblast,2024
16363,H573HH150,175000,Moscow Oblast,2024
16364,H573HH150,100000,Moscow Oblast,2024
16365,T808AT90,250000,Moscow Oblast,2024
16366,T808AT90,190000,Moscow Oblast,2024
16367,A535OP797,50000,Moscow,2023
16368,M877YT777,800000,Moscow,2023
16369,T028EE977,30000,Moscow,2024
16370,E777YY97,1850000,Moscow,2023
16371,E777YY97,1550000,Moscow,2023
16372,B300CY50,120000,Moscow Oblast,2022
16373,A858PM161,70000,Rostov Oblast,2023
16374,C069CC150,500000,Moscow Oblast,2022
16375,K008OY177,170000,Moscow,2023
16376,E084PK797,50000,Moscow,2025
16377,X055EH50,70000,Moscow Oblast,2021
16378,K090MC124,300000,Krasnoyarsk Krai,2024
16379,K668MP77,900000,Moscow,2023
16380,K668MP77,990000,Moscow,2023
16381,K668MP77,850000,Moscow,2023
16382,K668MP77,800000,Moscow,2023
16383,K668MP77,700000,Moscow,2023
16384,B600TH750,90000,Moscow Oblast,2024
16385,E777OB97,25000000,Moscow,2023
16386,C777YH99,530000,Moscow,2022
16387,O025MH797,60000,Moscow,2025
16388,M882AX977,100000,Moscow,2025
16389,E911KX50,550000,Moscow Oblast,2022
16390,E911KX50,1900000,Moscow Oblast,2025
16391,C965TM797,30000,Moscow,2025
16392,T777KX77,1850000,Moscow,2022
16393,P010BH777,150000,Moscow,2023
16394,X374KK977,60000,Moscow,2025
16395,E561BA977,50000,Moscow,2024
16396,Y004KP142,70000,Kemerovo Oblast,2022
16397,K525PA150,50000,Moscow Oblast,2023
16398,C110BO102,200000,Republic of Bashkortostan,2023
16399,B111TE77,315000,Moscow,2022
16400,M030XB96,400000,Sverdlovsk Oblast,2024
16401,O800PP777,350000,Moscow,2022
16402,T316OK790,49000,Moscow Oblast,2024
16403,A333AA66,4000000,Sverdlovsk Oblast,2024
16404,A333AA66,4999999,Sverdlovsk Oblast,2024
16405,M600PH797,130000,Moscow,2024
16406,M600PH797,160000,Moscow,2025
16407,X009BP197,110000,Moscow,2022
16408,X009BP197,90000,Moscow,2022
16409,X009BP197,105000,Moscow,2022
16410,X009BP197,80000,Moscow,2022
16411,X009BP197,90000,Moscow,2022
16412,X009BP197,80000,Moscow,2022
16413,O050XH790,45000,Moscow Oblast,2023
16414,C500BB550,475000,Moscow Oblast,2024
16415,C335EK199,150000,Moscow,2023
16416,C335EK199,50000,Moscow,2024
16417,P040MX799,35000,Moscow,2023
16418,C493BP550,60000,Moscow Oblast,2025
16419,C313CC90,1200000,Moscow Oblast,2024
16420,C313CC90,1150000,Moscow Oblast,2024
16421,C313CC90,1100000,Moscow Oblast,2024
16422,C313CC90,1250000,Moscow Oblast,2024
16423,C313CC90,1200000,Moscow Oblast,2024
16424,C313CC90,1250000,Moscow Oblast,2024
16425,C313CC90,1200000,Moscow Oblast,2024
16426,C313CC90,1150000,Moscow Oblast,2024
16427,M999KA190,999999,Moscow Oblast,2024
16428,M999KA190,1000000,Moscow Oblast,2024
16429,O186OO93,590000,Krasnodar Krai,2023
16430,Y060XC777,150000,Moscow,2025
16431,E006HA142,55000,Kemerovo Oblast,2024
16432,M055MM48,1000000,Lipetsk Oblast,2024
16433,B447HC797,150000,Moscow,2023
16434,B817BK702,75000,Republic of Bashkortostan,2024
16435,A014CX797,110000,Moscow,2025
16436,X006KY23,2000000,Krasnodar Krai,2023
16437,X014AH90,350000,Moscow Oblast,2024
16438,E007PX97,1100000,Moscow,2024
16439,A858KB177,80000,Moscow,2023
16440,E768TO797,60000,Moscow,2025
16441,A888CC37,280000,Ivanovo Oblast,2022
16442,O999BO750,500000,Moscow Oblast,2025
16443,C837OC797,70000,Moscow,2024
16444,O002MM190,650000,Moscow Oblast,2025
16445,C999CK150,350000,Moscow Oblast,2023
16446,C999CK150,300000,Moscow Oblast,2023
16447,C999CK150,250000,Moscow Oblast,2023
16448,C999CK150,220000,Moscow Oblast,2023
16449,C999CK150,250000,Moscow Oblast,2023
16450,K777TK01,600000,Republic of Adygea,2023
16451,B777MY99,1320000,Moscow,2024
16452,C002BO193,180000,Krasnodar Krai,2022
16453,X570XH55,200000,Omsk Oblast,2024
16454,P828AA93,50000,Krasnodar Krai,2023
16455,K156OT799,160000,Moscow,2024
16456,K272KH977,45000,Moscow,2025
16457,O240MP77,5000000,Moscow,2023
16458,E011EO39,150000,Kaliningrad Oblast,2024
16459,E011EO39,100000,Kaliningrad Oblast,2024
16460,O444KY30,149999,Astrakhan Oblast,2023
16461,B063ET977,350000,Moscow,2024
16462,K323PK05,1500000,Republic of Dagestan,2024
16463,T087CB797,60000,Moscow,2025
16464,B707OH161,190000,Rostov Oblast,2024
16465,O509TB797,30000,Moscow,2024
16466,T977BK977,200000,Moscow,2024
16467,E505YX790,40000,Moscow Oblast,2023
16468,A595PC777,180000,Moscow,2022
16469,Y300OY797,300000,Moscow,2025
16470,E926AY977,70000,Moscow,2024
16471,H051TE797,50000,Moscow,2025
16472,T058EH977,50000,Moscow,2024
16473,H838AC38,250000,Irkutsk Oblast,2024
16474,M999XP777,460000,Moscow,2023
16475,X252CK77,60000,Moscow,2021
16476,X252CK77,55000,Moscow,2022
16477,M556KA977,100000,Moscow,2024
16478,E063YH750,250000,Moscow Oblast,2024
16479,M100OM154,154000,Novosibirsk Oblast,2024
16480,E400KK03,55000,Republic of Buryatia,2023
16481,M856KA977,60000,Moscow,2024
16482,A303HM797,30000,Moscow,2022
16483,C969KB125,50000,Primorsky Krai,2024
16484,C464PX797,80000,Moscow,2025
16485,B064BO164,750000,Saratov Oblast,2024
16486,P621OH797,30000,Moscow,2024
16487,P004XM750,125000,Moscow Oblast,2024
16488,K494AK550,60000,Moscow Oblast,2024
16489,X940XX55,110000,Omsk Oblast,2023
16490,A004CY71,999999,Tula Oblast,2024
16491,K707MY797,95000,Moscow,2023
16492,E035AA196,200000,Sverdlovsk Oblast,2024
16493,C111HP23,210000,Krasnodar Krai,2022
16494,C200XO77,250000,Moscow,2024
16495,C200XO77,200000,Moscow,2024
16496,C200XO77,250000,Moscow,2024
16497,A175XX797,30000,Moscow,2025
16498,C282EP77,100000,Moscow,2023
16499,B212CA77,80000,Moscow,2023
16500,H100AK777,360000,Moscow,2022
16501,C002AT790,250000,Moscow Oblast,2022
16502,K002BY197,230000,Moscow,2023
16503,K002BY197,20000,Moscow,2023
16504,M080MB35,200000,Vologda Oblast,2024
16505,O181PK71,25000,Tula Oblast,2025
16506,E999MY790,310000,Moscow Oblast,2025
16507,P404KK77,95000,Moscow,2023
16508,P404KK77,130000,Moscow,2023
16509,B351BB177,230000,Moscow,2023
16510,B351BB177,300000,Moscow,2024
16511,B351BB177,260000,Moscow,2024
16512,B351BB177,220000,Moscow,2024
16513,B351BB177,300000,Moscow,2024
16514,H696TA797,30000,Moscow,2025
16515,T357PY797,60000,Moscow,2024
16516,K393HK21,70000,Chuvash Republic,2024
16517,K616BB550,90000,Moscow Oblast,2024
16518,O539OO150,500000,Moscow Oblast,2024
16519,O539OO150,450000,Moscow Oblast,2024
16520,O539OO150,500000,Moscow Oblast,2024
16521,Y039HX797,30000,Moscow,2025
16522,A900EY77,250000,Moscow,2022
16523,A900EY77,220000,Moscow,2023
16524,K949TO75,50000,Zabaykalsky Krai,2024
16525,Y030BA77,250000,Moscow,2025
16526,A101AC199,101000,Moscow,2025
16527,H272HH77,800000,Moscow,2025
16528,T097CC799,55000,Moscow,2022
16529,K777OH150,530000,Moscow Oblast,2025
16530,K006AX63,200000,Samara Oblast,2024
16531,C395OO97,235000,Moscow,2023
16532,X001KB790,350000,Moscow Oblast,2023
16533,X001KB790,325000,Moscow Oblast,2023
16534,X001KB790,270000,Moscow Oblast,2023
16535,E999KA777,1350000,Moscow,2024
16536,E999KA777,1250000,Moscow,2024
16537,E999KA777,1150000,Moscow,2024
16538,E999KA777,1250000,Moscow,2025
16539,B831OP77,250000,Moscow,2024
16540,O400TH790,80000,Moscow Oblast,2024
16541,P770BK777,270000,Moscow,2025
16542,X069XX77,400000,Moscow,2023
16543,K400XK790,180000,Moscow Oblast,2023
16544,K035KA797,50000,Moscow,2024
16545,M090EC193,50000,Krasnodar Krai,2024
16546,O911MB123,70000,Krasnodar Krai,2023
16547,H055TH46,100000,Kursk Oblast,2024
16548,O304OO90,320000,Moscow Oblast,2023
16549,E789PH797,30000,Moscow,2025
16550,A666CA252,160000,Nizhny Novgorod Oblast,2024
16551,T204CH790,25000,Moscow Oblast,2022
16552,M300PA126,75000,Stavropol Krai,2024
16553,K396PT797,30000,Moscow,2025
16554,P658PP190,150000,Moscow Oblast,2021
16555,P658PP190,135000,Moscow Oblast,2021
16556,H300AE977,130000,Moscow,2024
16557,M222YE777,280000,Moscow,2022
16558,K727XK01,50000,Republic of Adygea,2024
16559,Y500AC550,199000,Moscow Oblast,2024
16560,P131AK50,60000,Moscow Oblast,2024
16561,H098YK98,120000,Saint Petersburg,2023
16562,A888MM99,13900000,Moscow,2025
16563,P959HE797,65000,Moscow,2024
16564,Y999PM177,500000,Moscow,2024
16565,Y999PM177,550000,Moscow,2024
16566,A577AP77,120000,Moscow,2024
16567,C333HY77,1000000,Moscow,2024
16568,M666PM197,600000,Moscow,2024
16569,A607MP50,899000,Moscow Oblast,2025
16570,C717CT777,170000,Moscow,2022
16571,C717CT777,160000,Moscow,2022
16572,X424OO797,170000,Moscow,2023
16573,H080KB797,110000,Moscow,2022
16574,X009OP777,350000,Moscow,2024
16575,K006AP77,540000,Moscow,2025
16576,H885KC58,25000,Penza Oblast,2023
16577,E101EC05,100000,Republic of Dagestan,2024
16578,H696YY199,180000,Moscow,2024
16579,E007AC177,800000,Moscow,2025
16580,X070EH799,100000,Moscow,2024
16581,X070EH799,120000,Moscow,2024
16582,X070EH799,100000,Moscow,2024
16583,A989MP150,2000000,Moscow Oblast,2024
16584,E575BA550,280000,Moscow Oblast,2025
16585,M030XP77,110000,Moscow,2022
16586,T919XP750,50000,Moscow Oblast,2024
16587,Y666MY30,120000,Astrakhan Oblast,2023
16588,B333HT197,380000,Moscow,2025
16589,O020OP790,70000,Moscow Oblast,2023
16590,M170TT797,45000,Moscow,2025
16591,E303KC797,95000,Moscow,2022
16592,A006YO777,250000,Moscow,2022
16593,B400XB90,150000,Moscow Oblast,2025
16594,K059PY790,300000,Moscow Oblast,2024
16595,H723TH98,50000,Saint Petersburg,2024
16596,B838EP797,100000,Moscow,2024
16597,P800BA77,290000,Moscow,2025
16598,X383BA550,30000,Moscow Oblast,2025
16599,K808OT763,300000,Samara Oblast,2023
16600,H007BC50,500000,Moscow Oblast,2025
16601,K999BX126,35000,Stavropol Krai,2024
16602,K999BX126,450000,Stavropol Krai,2024
16603,O555KO790,400000,Moscow Oblast,2024
16604,C911AA250,180000,Moscow Oblast,2025
16605,E787EE190,220000,Moscow Oblast,2022
16606,E787EE190,280000,Moscow Oblast,2022
16607,E787EE190,230000,Moscow Oblast,2022
16608,E787EE190,250000,Moscow Oblast,2022
16609,E787EE190,255000,Moscow Oblast,2022
16610,E787EE190,235000,Moscow Oblast,2022
16611,E787EE190,250000,Moscow Oblast,2022
16612,E787EE190,300000,Moscow Oblast,2022
16613,E787EE190,250000,Moscow Oblast,2022
16614,E787EE190,255000,Moscow Oblast,2022
16615,E787EE190,220000,Moscow Oblast,2022
16616,E787EE190,255000,Moscow Oblast,2022
16617,E787EE190,280000,Moscow Oblast,2022
16618,E787EE190,250000,Moscow Oblast,2022
16619,O028OB190,25000,Moscow Oblast,2023
16620,Y049TM797,60000,Moscow,2025
16621,A949OO99,2100000,Moscow,2025
16622,A949OO99,1700000,Moscow,2025
16623,E200MA86,60000,Khanty-Mansi Autonomous Okrug,2022
16624,A003EH177,215000,Moscow,2025
16625,O111OC790,485000,Moscow Oblast,2025
16626,O044AC550,85000,Moscow Oblast,2025
16627,C289CO797,60000,Moscow,2025
16628,C300EM977,540000,Moscow,2025
16629,O006XK42,90000,Kemerovo Oblast,2024
16630,M854BH777,70000,Moscow,2025
16631,C050HH39,45000,Kaliningrad Oblast,2024
16632,H005XA197,200000,Moscow,2023
16633,H005XA197,250000,Moscow,2024
16634,Y696HH761,100000,Rostov Oblast,2024
16635,P585OP39,180000,Kaliningrad Oblast,2023
16636,A007CX197,460000,Moscow,2024
16637,A007CX197,420000,Moscow,2024
16638,A007CX197,390000,Moscow,2024
16639,A007CX197,410000,Moscow,2024
16640,A007CX197,510000,Moscow,2025
16641,B377AO550,60000,Moscow Oblast,2025
16642,M858AX977,290000,Moscow,2025
16643,H402OK790,60000,Moscow Oblast,2024
16644,Y444AE197,600000,Moscow,2025
16645,X049AY05,70000,Republic of Dagestan,2024
16646,P700XK199,70000,Moscow,2022
16647,M666YK790,500000,Moscow Oblast,2024
16648,A187CA797,60000,Moscow,2025
16649,K100MM124,150000,Krasnoyarsk Krai,2023
16650,O366MP150,180000,Moscow Oblast,2025
16651,H454XE790,33000,Moscow Oblast,2023
16652,C333TX99,300000,Moscow,2023
16653,Y996YY93,600000,Krasnodar Krai,2024
16654,Y959PT50,95000,Moscow Oblast,2024
16655,P440KK797,150000,Moscow,2025
16656,X070AC550,280000,Moscow Oblast,2024
16657,K004KY97,250000,Moscow,2024
16658,B555MB777,1500000,Moscow,2025
16659,K575YM97,100000,Moscow,2024
16660,K575YM97,70000,Moscow,2024
16661,K575YM97,250000,Moscow,2024
16662,O003CE77,550000,Moscow,2025
16663,M063MM99,10000000,Moscow,2024
16664,M063MM99,8000000,Moscow,2024
16665,M063MM99,6500000,Moscow,2024
16666,M063MM99,6000000,Moscow,2024
16667,P255PP150,300000,Moscow Oblast,2023
16668,M079TE797,70000,Moscow,2024
16669,Y039BB977,50000,Moscow,2025
16670,O064PC64,1200000,Saratov Oblast,2024
16671,M958TB797,24999,Moscow,2025
16672,X440EX60,75000,Pskov Oblast,2023
16673,B977BT977,300000,Moscow,2024
16674,O193HO193,250000,Krasnodar Krai,2024
16675,P999TX199,1250000,Moscow,2025
16676,X071MT797,35000,Moscow,2022
16677,E001BP777,400000,Moscow,2022
16678,E001BP777,450000,Moscow,2022
16679,X100AX550,230000,Moscow Oblast,2024
16680,B077OP77,2000000,Moscow,2025
16681,X034XX50,350000,Moscow Oblast,2022
16682,Y500OO102,500000,Republic of Bashkortostan,2023
16683,B333PH750,200000,Moscow Oblast,2024
16684,B333PH750,340000,Moscow Oblast,2025
16685,X073HB797,70000,Moscow,2025
16686,B555CC12,600000,Republic of Mari El,2024
16687,E095OO177,145000,Moscow,2025
16688,M900TO71,1500000,Tula Oblast,2023
16689,A999EP198,150000,Saint Petersburg,2023
16690,M356AX977,100000,Moscow,2025
16691,E701XH71,70000,Tula Oblast,2024
16692,E200EE190,400000,Moscow Oblast,2023
16693,E200EE190,950000,Moscow Oblast,2024
16694,M595TE797,80000,Moscow,2025
16695,K755KK77,1050000,Moscow,2025
16696,K444HH97,500000,Moscow,2025
16697,M333HH96,195000,Sverdlovsk Oblast,2023
16698,X010OO799,350000,Moscow,2024
16699,X010OO799,370000,Moscow,2025
16700,T001AA07,2000000,Kabardino-Balkarian Republic,2024
16701,H222KB154,100000,Novosibirsk Oblast,2023
16702,B787OP77,1200000,Moscow,2024
16703,B787OP77,6500000,Moscow,2024
16704,M113AH13,150000,Republic of Mordovia,2024
16705,T252BH550,50000,Moscow Oblast,2024
16706,A900OM92,250000,Sevastopol,2023
16707,E759AY977,30000,Moscow,2024
16708,A069HC797,8000000,Moscow,2022
16709,B160HH193,100000,Krasnodar Krai,2024
16710,M603PP797,50000,Moscow,2024
16711,H177YY177,770000,Moscow,2025
16712,Y757AT125,55000,Primorsky Krai,2023
16713,C085CC116,75000,Republic of Tatarstan,2023
16714,P024CT797,100000,Moscow,2025
16715,O645HA750,50000,Moscow Oblast,2023
16716,X888KT93,470000,Krasnodar Krai,2023
16717,X928XP777,100000,Moscow,2025
16718,Y888EP77,1100000,Moscow,2024
16719,Y888EP77,1050000,Moscow,2024
16720,Y888EP77,1100000,Moscow,2024
16721,Y888EP77,1080000,Moscow,2025
16722,Y888EP77,1100000,Moscow,2025
16723,X600KK197,300000,Moscow,2024
16724,X600KK197,230000,Moscow,2024
16725,X600KK197,300000,Moscow,2024
16726,X600KK197,250000,Moscow,2024
16727,X600KK197,230000,Moscow,2025
16728,T706KE124,35000,Krasnoyarsk Krai,2024
16729,H008OH790,150000,Moscow Oblast,2023
16730,K535HH797,120000,Moscow,2022
16731,C777HT177,1630000,Moscow,2025
16732,Y929OE797,85000,Moscow,2025
16733,A671MO30,99999,Astrakhan Oblast,2023
16734,X999HC99,1600000,Moscow,2023
16735,P520TA790,35000,Moscow Oblast,2022
16736,E999KB147,450000,Leningrad Oblast,2025
16737,H774BO74,400000,Chelyabinsk Oblast,2023
16738,O737OY777,125000,Moscow,2022
16739,O737OY777,120000,Moscow,2022
16740,M724TP797,55000,Moscow,2024
16741,A533MM799,90000,Moscow,2022
16742,K300TE797,150000,Moscow,2024
16743,O585AB126,35000,Stavropol Krai,2024
16744,K611OO797,140000,Moscow,2024
16745,P966EE96,500000,Sverdlovsk Oblast,2022
16746,C074OY797,70000,Moscow,2025
16747,A782KM93,55000,Krasnodar Krai,2023
16748,A452MM99,850000,Moscow,2025
16749,K555MY190,110000,Moscow Oblast,2022
16750,Y100KC774,55000,Chelyabinsk Oblast,2024
16751,P032YC799,190000,Moscow,2025
16752,E323HP790,25000,Moscow Oblast,2021
16753,M252MM777,2000000,Moscow,2024
16754,C001HA39,250000,Kaliningrad Oblast,2023
16755,A089AO550,100000,Moscow Oblast,2024
16756,E770TC797,160000,Moscow,2024
16757,C404TO72,150000,Tyumen Oblast,2023
16758,A115PB797,30000,Moscow,2025
16759,Y197MC197,200000,Moscow,2023
16760,M003MA197,460000,Moscow,2024
16761,K111KK97,2000000,Moscow,2022
16762,C888EC25,1500000,Primorsky Krai,2024
16763,A077AO550,570000,Moscow Oblast,2024
16764,C515YB05,30000,Republic of Dagestan,2024
16765,A348MM77,600000,Moscow,2023
16766,K757KB777,150000,Moscow,2025
16767,B100EX750,100000,Moscow Oblast,2024
16768,P321PP159,200000,Perm Krai,2024
16769,P321PP159,150000,Perm Krai,2024
16770,M490MM01,250000,Republic of Adygea,2022
16771,M490MM01,200000,Republic of Adygea,2022
16772,B082OP197,500000,Moscow,2025
16773,M555AB10,200000,Republic of Karelia,2022
16774,B997TE797,100000,Moscow,2025
16775,O228TO799,60000,Moscow,2022
16776,B980AA50,60000,Moscow Oblast,2024
16777,X791PM197,40000,Moscow,2024
16778,C064MO197,30000,Moscow,2023
16779,X444OX177,550000,Moscow,2024
16780,X444OX177,500000,Moscow,2024
16781,X444OX177,470000,Moscow,2025
16782,X444OX177,450000,Moscow,2025
16783,A859AA39,420000,Kaliningrad Oblast,2024
16784,Y095BT550,40000,Moscow Oblast,2025
16785,A100OX777,250000,Moscow,2025
16786,Y886OE797,70000,Moscow,2024
16787,Y886OE797,30000,Moscow,2025
16788,H878PP199,120000,Moscow,2024
16789,B040XH43,70000,Kirov Oblast,2023
16790,C282KP777,555555,Moscow,2024
16791,T700XY177,130000,Moscow,2023
16792,Y063AP550,140000,Moscow Oblast,2025
16793,O552CH797,30000,Moscow,2025
16794,P500PH797,250000,Moscow,2024
16795,P500PH797,200000,Moscow,2024
16796,X999YM77,800000,Moscow,2025
16797,K911AX777,550000,Moscow,2025
